latent_idx,combined_score,freq_diff,kl_divergence,mean_diff
2332,2.9893699,0.53910685,9.92864,52.60596
2985,2.964837,0.53047127,9.6535,58.55451
2063,2.1687458,0.26301506,4.685404,22.212805
279,2.0770466,0.23316061,4.120078,17.175879
19438,2.017356,0.20008941,3.9928172,6.9138284
14587,1.964292,0.19245003,3.405293,14.021999
2080,1.951355,0.18826593,3.1383038,23.85063
997,1.9160323,0.17149857,3.0505712,17.124804
1101,1.9022089,0.1697508,2.9007168,18.6793
1459,1.9021997,0.17271157,2.982463,12.637285
3257,1.894747,0.17223877,2.8937838,13.693135
588,1.8797276,0.16160868,2.7924988,16.129547
4464,1.8755622,0.15766099,2.673165,22.43053
2275,1.853931,0.15756911,2.581158,15.555791
2834,1.852083,0.17149857,2.562714,8.835603
5836,1.8503628,0.15272638,2.5857131,15.640648
1549,1.8372171,0.14853196,2.5170755,14.178045
2322,1.826124,0.14557119,2.4780807,11.597763
1471,1.8190646,0.1399067,2.3451202,17.876204
174,1.818663,0.1401431,2.3635995,16.495861
2357,1.8015764,0.13792253,2.33504,9.616024
1953,1.7945762,0.1396703,2.272964,8.353581
1139,1.7930841,0.13298792,2.2198832,13.736898
34926,1.7917349,0.15136987,2.2309303,3.483792
343,1.7810671,0.12978041,2.151923,12.391296
2082,1.780623,0.13027388,2.2152886,8.333112
1227,1.7748415,0.06717375,2.7957158,2.850792
241,1.7693024,0.12336541,2.057331,14.236548
2947,1.7569697,0.11991118,2.1180253,5.582139
401,1.7558334,0.09995799,2.1478577,12.898979
43,1.7519264,0.12040464,1.9967376,9.357704
3109,1.751895,0.117937334,2.0198402,9.229304
1812,1.7479415,0.11497656,1.9325936,13.363944
2622,1.74603,0.11818406,1.989853,7.518344
3454,1.7409563,0.115716755,1.9367001,8.866231
4294,1.7404833,0.10395625,2.0672195,6.923567
58978,1.7364461,0.11892425,1.9795161,2.380439
1631,1.7325807,0.11449342,1.9288555,5.212018
2120,1.7304695,0.113013044,1.8249136,10.60369
11025,1.7276063,0.10880829,1.8340633,10.516055
670,1.726548,0.10930175,1.8173436,10.6278515
2162,1.7245561,0.09087953,2.0035853,7.9112225
508,1.7238393,0.107574634,1.7953473,11.185806
1277,1.7132161,0.10510733,1.770254,7.8467183
10602,1.7119942,0.10461386,1.7468894,8.71811
4208,1.7098701,0.1048606,1.7328972,8.198874
3023,1.7089701,0.111296244,1.680628,7.5338764
3089,1.7081043,0.10264002,1.7240129,8.783666
2681,1.7069356,0.106104575,1.6634244,9.871737
1026,1.7054048,0.111430444,1.6560915,6.856824
