latent_idx,combined_score,freq_diff,kl_divergence,mean_diff
2933,3.0,0.6289375,11.39902,22.952839
9771,2.0505538,0.28379205,4.2223063,3.6092467
65013,1.953095,0.24072772,3.531284,2.627044
772,1.8830707,0.18307427,3.2154315,4.575281
44150,1.8738254,0.23536159,2.6856692,2.2734246
5114,1.8633327,0.17813966,3.1031203,1.822983
25507,1.8589692,0.2130629,2.7279725,2.0012188
8504,1.8533025,0.16823018,3.055923,2.8025866
19082,1.8526778,0.18532684,2.926606,1.37271
513,1.8092494,0.15865824,2.5486953,6.607368
1989,1.8027742,0.15149271,2.5467877,6.360824
11079,1.7800565,0.15052645,2.4238718,1.1618328
8777,1.7772259,0.140331,2.451882,2.5294628
19487,1.7743438,0.10611592,2.7752461,0.8254702
8084,1.7712424,0.14137676,2.397933,1.5535395
5084,1.771142,0.13890944,2.345561,4.575331
6050,1.7680802,0.157055,2.198177,2.3540645
3041,1.7606108,0.13471502,2.3224862,2.1872168
453,1.7560542,0.13695626,2.148065,6.3523726
1779,1.7529141,0.13503401,2.1805549,4.2830677
717,1.751508,0.13076733,2.1861835,5.0013375
1675,1.7398058,0.11136955,2.2560425,3.982083
3714,1.7380757,0.12607944,2.1033683,3.8890998
47089,1.7366211,0.14838846,1.9363226,1.6558578
11706,1.7360463,0.124845795,2.1156833,2.903451
1335,1.7267118,0.12288228,1.9766806,4.974213
3655,1.7229846,0.11941771,2.0178165,2.8574739
365,1.7206419,0.11867752,1.9653107,4.1906505
2542,1.7186706,0.11672432,2.008591,2.2364738
3187,1.7179432,0.11745419,1.9957094,2.14987
24204,1.7176118,0.13297862,1.8603252,1.6956363
15,1.7176094,0.11695041,1.9579061,3.7292244
50250,1.7148695,0.05266826,2.6925087,-3.421146
38125,1.7109201,0.21212862,1.0500844,1.9547243
6160,1.7045586,0.112262525,1.8629414,3.2914681
22179,1.6907358,0.13483891,1.5468683,1.2865744
660,1.689687,0.10461386,1.7159876,5.2435846
326,1.6809007,0.09967925,1.6345145,6.3344765
8743,1.6782455,0.0815244,1.9055845,0.8379946
5927,1.676513,0.09647175,1.6000512,6.9041443
295,1.6736887,0.09696521,1.6380937,3.847043
545,1.6727358,0.09721194,1.6282834,3.711345
14712,1.6709049,0.098445594,1.6534642,1.3648552
1509,1.6664284,0.09375771,1.5311953,6.039533
241,1.6663047,0.09577285,1.5455693,4.636794
797,1.6631408,0.094004445,1.5754331,2.6058898
987,1.661377,0.091311045,1.561064,3.3837018
1313,1.6546543,0.09153713,1.5027139,2.5512893
488,1.6476909,0.0880829,1.4470757,2.879058
812,1.6470561,0.08783617,1.4373208,3.07483
