latent_idx,combined_score,freq_diff,kl_divergence,mean_diff
1693,3.0,0.47767085,8.70319,75.96544
677,2.3216662,0.29364064,4.6783857,53.720707
1912,2.2948213,0.2681964,4.7862372,44.562935
1123,2.1295438,0.21391562,3.784401,46.753323
1381,2.1122203,0.21021466,3.6639392,46.86249
457,2.0860984,0.21219882,3.4682007,43.24204
9893,2.075942,0.20626697,3.617906,29.310564
3325,2.068129,0.20676042,3.5945847,25.669802
797,1.997472,0.14927422,2.9507856,64.55415
1229,1.9894302,0.19789878,2.7402153,43.944435
1191,1.9726691,0.20037639,2.6095903,41.226067
2295,1.9685631,0.17024426,2.9389944,33.303654
637,1.9035804,0.14982755,2.70791,21.45535
1089,1.8996294,0.14877868,2.5141654,33.986916
16661,1.8876939,0.1505058,2.5919518,19.361605
6481,1.8581579,0.14236368,2.4496756,16.021338
695,1.8399576,0.14386472,2.113997,28.257393
556,1.8377669,0.09408806,2.7338195,12.512799
11567,1.8253882,0.12224532,2.2725148,20.836195
1005,1.8232101,0.12385887,2.0826375,32.527153
683,1.8202462,0.13027388,2.222996,16.060425
915,1.8138192,0.11991118,1.9928737,35.647835
472,1.8009293,0.14019473,1.8632742,23.982132
1570,1.7980232,0.12615171,2.0170317,19.629044
1075,1.7930738,0.114483096,1.9469333,29.097208
2943,1.7916994,0.20794451,1.0499297,35.24696
572,1.7722477,0.11078214,1.821617,27.298775
609,1.7643309,0.12027147,1.5446067,36.724648
812,1.7517905,0.10713279,1.8209313,16.429716
2065,1.742703,0.10832515,1.6890161,19.599522
2124,1.7312803,0.10809907,1.6717995,13.625915
3598,1.7261658,0.09647175,1.6055928,22.671124
5695,1.7124592,0.09474463,1.5768129,17.037846
1554,1.7063797,0.092277326,1.5456582,16.99506
990,1.7049661,0.10389432,1.408585,18.858278
1859,1.703883,0.08033204,1.4946624,26.807201
3446,1.7018883,0.08690292,1.5283021,18.811968
2425,1.6954203,0.09055021,1.5297031,12.186875
563,1.6941249,0.09006707,1.521366,12.277017
888,1.6702414,0.07994078,1.4156266,11.146939
3157,1.668968,0.08562592,1.3828185,9.130995
1309,1.6676913,0.08191463,1.333976,14.311174
399,1.6667758,0.07156226,1.1570805,33.50056
3805,1.6652944,0.08265483,1.3626919,10.148027
2137,1.6599164,0.08267547,1.1379744,23.377287
2324,1.6571734,0.07722674,1.283806,14.227621
1916,1.6556156,0.07921092,1.2832726,11.990185
2139,1.6525228,0.04824671,1.5275164,11.594527
1417,1.6514897,0.082212985,1.1427053,17.861858
1311,1.6504219,0.075006165,1.2335114,15.016532
